id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,country,currency
22312497,"Villa Da Madeira, life near Table Mountain!",39167564,Teresa,nan,Ward 77,-33.94431,18.42184,Entire home/apt,935.0,3,44,2024-08-24,0.54,1,278,7,nan,"Cape Town, Western Cape, South Africa",unknown
50570346,Beautiful views Gorge Inlet-Handicap accessible,408584064,Kelly,View Royal,View Royal,48.46453,-123.4213,Entire home/apt,150.0,2,34,2024-10-21,1.02,1,358,16,nan,"Victoria, British Columbia, Canada",unknown
1181761936916109321,Villa Chrisa Seaview in Piskopiano - Private Pool,584204221,Konstantinos,nan,Χερσονήσου,35.30943594562427,25.38170456201018,Entire home/apt,175.0,4,6,2024-09-17,2.77,1,30,6,00002700350,"Crete, Crete, Greece",unknown
997599242483416843,Casetta Andromeda,113345437,Domenico,nan,Cammarata,37.645564,13.599773,Entire home/apt,48.0,1,8,2024-09-18,0.74,5,179,8,nan,"Sicily, Sicilia, Italy",unknown
843687834623865217,A Stylish & Cozy Studio Next To Darling Harbour,343442154,Advante Homes,nan,Sydney,-33.8690146,151.2043704,Entire home/apt,194.0,1,14,2024-04-27,0.88,33,54,10,PID-STRA-13219,"Sydney, New South Wales, Australia",unknown
999771308036502312,"Blueground | FiDi, gym, nr Freedom Tower",107434423,Blueground,Manhattan,Financial District,40.70803,-74.014869,Entire home/apt,243.0,31,1,2024-09-15,0.59,897,308,1,nan,"New York City, New York, United States",unknown
39439465,Perfecto Loft en gran ubicación,91265490,HOMi,nan,Miguel Hidalgo,19.40047,-99.17634,Entire home/apt,899.0,1,284,2024-07-08,4.75,109,344,43,nan,"Mexico City, Distrito Federal, Mexico",unknown
44389328,A garden with palm trees in the hearth of Venice,6019189,Federico,Isole,Dorsoduro,45.43585,12.32271,Entire home/apt,225.0,3,62,2024-06-27,1.25,20,317,8,027042-LOC-00427,"Venice, Veneto, Italy",unknown
35191872,"Piso fin de champion , cerca del wanda.",193720971,Victor,Ciudad Lineal,San Pascual,40.43762,-3.6554,Shared room,nan,1,0,nan,nan,1,0,0,nan,"Malaga, AndalucÃ­a, Spain",unknown
50156964,Las Olas - 202,256242795,Emily,nan,Fort Lauderdale,26.12095,-80.11952,Entire home/apt,134.0,1,27,2024-09-02,0.69,42,88,2,nan,"Broward County, Florida, United States",unknown
25668607,Maison entre Bordeaux et l’Océan de 117 m2,193255366,Stephane,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89258,-0.7714,Entire home/apt,106.0,3,39,2024-08-19,0.56,1,163,3,nan,"Bordeaux, Nouvelle-Aquitaine, France",unknown
16354676,"Bdgt Prvte Hollywood Bedrm w/King/60""TV/WIFI/Ntflx",71606834,Jim,City of Los Angeles,Hollywood,34.09585,-118.34301,Private room,41.0,31,193,2024-08-30,2.07,9,154,8,nan,"Los Angeles, California, United States",unknown
8164001,Amazing Graça Apartment with AC,42377378,Maria & Luigi,Lisboa,So Vicente,38.7149,-9.12869,Entire home/apt,137.0,3,317,2024-08-25,2.89,1,318,51,19214/AL,"Lisbon, Lisbon, Portugal",unknown
887494086915062607,*New* Duplex family flat close to Père Lachaise,9050690,Rebecca Et Thomas,nan,Ménilmontant,48.863269900793625,2.400246370099884,Entire home/apt,nan,6,0,nan,nan,1,330,0,7512010184733,"Pays Basque, PyrÃ©nÃ©es-Atlantiques, France",unknown
746838597326136494,Spacious 1 BR Astoria Apartment,60212348,Carlo,Queens,Astoria,40.768056,-73.918002,Entire home/apt,125.0,30,9,2023-10-12,0.37,1,311,0,nan,"New York City, New York, United States",unknown
1127462937622066141,Bathtub Room at MRT Samyan,570557893,Patara,nan,Parthum Wan,13.7313,100.53336,Entire home/apt,1866.0,1,2,2024-08-20,0.42,3,313,2,nan,"Bangkok, Central Thailand, Thailand",unknown
